q_A^-1,two_theta_deg,intensity
1.4170000553131104,2.324735701973402,16.84259033203125
1.4190000295639038,2.3280173185359185,16.838171005249023
1.4210000038146973,2.331298937007922,16.86127281188965
1.4230000972747803,2.334580752994499,16.86521339416504
1.4250000715255737,2.3378623752936734,16.88002586364746
1.4270000457763672,2.341143999510418,16.885215759277344
1.4290000200271606,2.3444256256474287,16.87891387939453
1.4310001134872437,2.34770744931025,16.87822723388672
1.433000087738037,2.35098907929599,16.872249603271484
1.4350000619888306,2.35427071121008,16.867773056030273
1.437000036239624,2.357552345055214,16.880176544189453
1.4390000104904175,2.360833980834087,16.895214080810547
1.4410001039505005,2.3641158141528207,16.909107208251953
1.443000078201294,2.367397453807372,16.909198760986328
1.4450000524520874,2.3706790954037467,16.90128517150879
1.4470000267028809,2.37396073894464,16.866971969604492
1.4490001201629639,2.3772425800366355,16.860164642333984
1.4510000944137573,2.380524227474766,16.87604331970215
1.4530000686645508,2.383805876865499,16.894411087036133
1.4550000429153442,2.38708752821153,16.90697479248047
1.4570000171661377,2.390369181515554,16.91041374206543
1.4590001106262207,2.3936510323847373,16.917842864990234
1.4610000848770142,2.396932689612948,16.91562843322754
1.4630000591278076,2.400214348807236,16.933670043945312
1.465000033378601,2.403496009970297,16.930339813232422
1.4670000076293945,2.4067776731048243,16.912378311157227
1.4690001010894775,2.4100595338185746,16.891849517822266
1.471000075340271,2.4133412009042394,16.88934326171875
1.4730000495910645,2.4166228699694567,16.882661819458008
1.475000023841858,2.4199045410169218,16.892498016357422
1.477000117301941,2.4231864096548614,16.893735885620117
1.4790000915527344,2.4264680846750246,16.892379760742188
1.4810000658035278,2.42974976168552,16.90515899658203
1.4830000400543213,2.433031440689043,16.914731979370117
1.4850000143051147,2.436313121688289,16.90128517150879
1.4870001077651978,2.4395950002920803,16.897403717041016
1.4890000820159912,2.442876685290976,16.891820907592773
1.4910000562667847,2.44615837229368,16.88762855529785
1.4930000305175781,2.4494400613028873,16.869781494140625
1.4950001239776611,2.4527219479278983,16.875465393066406
1.4970000982284546,2.4560036409583175,16.874797821044922
1.499000072479248,2.4592853360033256,16.89979362487793
1.5010000467300415,2.4625670330656177,16.904848098754883
1.503000020980835,2.4658487321478897,16.911401748657227
1.505000114440918,2.469130628860042,16.9127197265625
1.5070000886917114,2.4724123319904794,16.919044494628906
1.5090000629425049,2.4756940371489806,16.90414047241211
1.5110000371932983,2.4789757443382423,16.89952850341797
1.5130000114440918,2.48225745356096,16.872230529785156
1.5150001049041748,2.485539360427641,16.860153198242188
1.5170000791549683,2.4888210737254775,16.838151931762695
1.5190000534057617,2.4921027890648553,16.81768226623535
1.5210000276565552,2.4953845064484703,16.772871017456055
1.5230001211166382,2.498666421487318,16.76051902770996
1.5250000953674316,2.501948142967615,16.761749267578125
1.527000069618225,2.5052298665002364,16.75055694580078
1.5290000438690186,2.5085115920878756,16.725383758544922
1.531000018119812,2.511793319733229,16.71487808227539
1.533000111579895,2.5150752450479064,16.72443199157715
1.5350000858306885,2.518356976816897,16.7391414642334
1.537000060081482,2.521638710651689,16.73790740966797
1.5390000343322754,2.524920446554977,16.72115707397461
1.5410001277923584,2.5282023801388624,16.691505432128906
1.5430001020431519,2.531484120187353,16.669099807739258
1.5450000762939453,2.534765862312425,16.65629768371582
1.5470000505447388,2.5380476065167765,16.65024185180664
1.5490000247955322,2.5413293528031007,16.644365310668945
1.5510001182556152,2.544611296784122,16.645288467407227
1.5530000925064087,2.547893047242606,16.644306182861328
1.5550000667572021,2.5511747997911502,16.623165130615234
1.5570000410079956,2.554456554432451,16.599781036376953
1.5590001344680786,2.5577385067797294,16.565568923950195
1.561000108718872,2.5610202656147543,16.561777114868164
1.5630000829696655,2.5643020265506236,16.56476593017578
1.565000057220459,2.5675837895900306,16.57387351989746
1.5670000314712524,2.570865554735674,16.576519012451172
1.5690001249313354,2.5741475176013995,16.59044647216797
1.571000099182129,2.5774292869677247,16.60258674621582
1.5730000734329224,2.580711058448372,16.607526779174805
1.5750000476837158,2.583992832046037,16.60580062866211
1.5770000219345093,2.587274607763416,16.606843948364258
1.5790001153945923,2.590556581214988,16.58868980407715
1.5810000896453857,2.5938383611800075,16.527320861816406
1.5830000638961792,2.5971201432728286,16.465286254882812
1.5850000381469727,2.6004019274961467,16.420530319213867
1.5870001316070557,2.6036839094649493,16.364927291870117
1.5890001058578491,2.6069656979574765,16.280454635620117
1.5910000801086426,2.6102474885885876,16.244491577148438
1.593000054359436,2.61352928136098,16.212072372436523
1.5950000286102295,2.616811076277348,16.186553955078125
1.5970001220703125,2.62009306895332,16.21074676513672
1.599000096321106,2.623374868165858,16.22916603088379
1.6010000705718994,2.62665666953046,16.22364044189453
1.6030000448226929,2.6299384730498225,16.227014541625977
1.6050001382827759,2.6332204743400855,16.21639060974121
1.6070001125335693,2.6365022821771857,16.219255447387695
1.6090000867843628,2.6397840921771345,16.1990966796875
1.6110000610351562,2.6430659043426274,16.184289932250977
1.6130000352859497,2.6463477186763615,16.16199493408203
